127.0.0.1, 2023-12-11 09:39:05, GET, /, HTTP/1.1, 303, 0.852419
127.0.0.1, 2023-12-11 09:39:06, GET, /welcome/default/index, HTTP/1.1, 200, 0.529975
127.0.0.1, 2023-12-11 09:39:06, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003008
127.0.0.1, 2023-12-11 09:39:06, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2023-12-11 09:39:06, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2023-12-11 09:39:06, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002996
127.0.0.1, 2023-12-11 09:39:06, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.004992
127.0.0.1, 2023-12-11 09:39:06, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002999
127.0.0.1, 2023-12-11 09:39:06, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.002996
127.0.0.1, 2023-12-11 09:39:06, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002001
127.0.0.1, 2023-12-11 09:39:06, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002016
127.0.0.1, 2023-12-11 09:39:06, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001007
127.0.0.1, 2023-12-11 09:39:06, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001025
127.0.0.1, 2023-12-11 09:43:20, GET, /welcome/default/api_get_user_email, HTTP/1.1, 303, 0.062606
127.0.0.1, 2023-12-11 09:43:20, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.027003
127.0.0.1, 2023-12-11 09:43:20, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001005
127.0.0.1, 2023-12-11 09:43:20, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.002026
127.0.0.1, 2023-12-11 09:43:20, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001998
127.0.0.1, 2023-12-11 09:43:20, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.003009
127.0.0.1, 2023-12-11 09:43:20, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.002009
127.0.0.1, 2023-12-11 09:43:20, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.004006
127.0.0.1, 2023-12-11 09:43:20, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.003001
